,date_,store,department,item,unit_price,quantity,on_promotion,promotion_type
0,20120102,315,1,95470,10.0,4.0766406,N,0
1,20120102,315,1,507566,10.0,6.4872565,N,0
2,20120102,315,1,593171,10.0,3.7992816,N,0
3,20120102,315,2,22631,12.84,12.772406,N,0
4,20120102,315,2,404470,12.54,18.65421,N,0
5,20120102,315,2,423218,14.91,11.656648,N,0
6,20120102,315,2,451332,29.82,2.2529306,N,0
7,20120102,315,2,482591,23.94,3.5580883,N,0
8,20120102,315,2,533283,6.0,22.401184,N,0
9,20120102,315,2,558749,44.94,2.1867208,N,0
10,20120102,315,2,568499,3.75,15.572475,N,0
11,20120102,315,2,570153,11.91,29.337769,N,0
12,20120102,315,2,577654,25.41,4.5845613,N,0
13,20120102,315,2,586937,3.0,21.843039,N,0
14,20120102,315,2,592729,11.31,6.190572,N,0
15,20120102,315,3,3683,1.76,36.410423,Y,5
16,20120102,315,3,20376,7.54,8.771276,N,0
17,20120102,315,3,90263,11.94,17.62696,Y,6
18,20120102,315,3,92418,2.34,23.435947,N,0
19,20120102,315,3,92433,2.34,9.9422,N,0
20,20120102,315,3,108037,3.98,9.564294,N,0
21,20120102,315,3,153171,8.0,5.4254417,N,0
22,20120102,315,3,194781,7.34,10.559987,Y,5
23,20120102,315,3,228016,11.94,11.485155,N,0
24,20120102,315,3,280116,6.94,8.113289,N,0
25,20120102,315,3,417014,4.0,6.079339,N,0
26,20120102,315,3,456076,4.0,14.917659,Y,5
27,20120102,315,3,496031,17.94,5.478651,Y,6
28,20120102,315,3,515246,4.94,10.154162,N,0
29,20120102,315,3,573599,4.54,22.32002,N,0
30,20120102,315,3,573607,4.54,13.144686,N,0
31,20120102,315,3,573609,4.54,15.018087,N,0
32,20120102,315,3,587131,5.54,8.16592,N,0
33,20120102,315,4,82660,4.45,89.2511,Y,6
34,20120102,315,4,82686,1.45,20.78756,N,0
35,20120102,315,4,82689,3.71,16.728815,N,0
36,20120102,315,4,82701,2.95,15.654434,N,0
37,20120102,315,4,183628,2.96,15.985618,N,0
38,20120102,315,4,255476,2.2,23.25182,N,0
39,20120102,315,4,255489,2.35,85.960724,Y,6
40,20120102,315,4,255494,1.45,27.690172,N,0
41,20120102,315,4,335757,3.7,23.93454,Y,5
42,20120102,315,4,345376,3.38,20.053156,N,0
43,20120102,315,4,407217,1.91,242.2897,Y,6
44,20120102,315,4,409559,3.7,11.670748,N,0
45,20120102,315,4,411406,5.96,8.477677,N,0
46,20120102,315,4,431714,2.66,22.819534,N,0
47,20120102,315,4,455721,4.46,33.165707,Y,6
48,20120102,315,4,467757,7.45,8.839597,N,0
49,20120102,315,4,489718,5.96,18.908684,N,0
50,20120102,315,4,501396,3.7,27.538378,Y,5
51,20120102,315,4,530037,5.95,11.48527,N,0
52,20120102,315,4,532196,2.66,50.69667,N,0
53,20120102,315,4,536428,5.95,16.688679,N,0
54,20120102,315,4,555947,5.96,9.11166,N,0
55,20120102,326,1,466877,12.0,4.777067,N,0
56,20120102,326,1,466879,12.0,3.1102462,N,0
57,20120102,326,1,478896,12.0,5.7837276,N,0
58,20120102,326,1,507566,10.0,5.849062,N,0
59,20120102,326,1,542781,12.0,3.2146137,N,0
60,20120102,326,1,593171,10.0,3.383009,N,0
61,20120102,326,2,22631,12.84,9.497569,N,0
62,20120102,326,2,423218,14.91,21.9455,Y,6
63,20120102,326,2,487331,9.0,13.375458,N,0
64,20120102,326,2,487334,9.0,6.9317465,N,0
65,20120102,326,2,516965,14.91,25.053394,Y,6
66,20120102,326,2,517989,18.0,3.7245421,N,0
67,20120102,326,2,533283,6.0,15.965371,N,0
68,20120102,326,2,540535,6.0,7.5950375,N,0
69,20120102,326,2,568499,3.0,89.390434,Y,6
70,20120102,326,2,570153,11.91,22.478516,N,0
71,20120102,326,2,592729,11.31,5.423505,N,0
72,20120102,326,3,3683,1.76,23.873535,Y,5
73,20120102,326,3,20376,7.54,7.0556192,N,0
74,20120102,326,3,36907,7.94,6.8724737,N,0
75,20120102,326,3,92418,2.34,14.956812,N,0
76,20120102,326,3,153171,8.0,4.708666,N,0
77,20120102,326,3,194771,3.94,5.834366,N,0
78,20120102,326,3,194781,7.34,8.036035,Y,5
79,20120102,326,3,346126,21.94,4.563102,N,0
80,20120102,326,3,417014,4.0,4.375128,N,0
81,20120102,326,3,447058,11.98,27.121857,Y,6
82,20120102,326,3,456076,4.0,11.870789,Y,5
83,20120102,326,3,471651,9.94,4.661728,N,0
84,20120102,326,3,573599,4.54,16.246101,N,0
85,20120102,326,3,573602,4.54,16.208134,N,0
86,20120102,326,3,573607,4.54,9.189767,N,0
87,20120102,326,3,573609,4.54,10.238129,N,0
88,20120102,326,3,587131,5.54,5.6014833,N,0
89,20120102,326,3,590267,1.94,13.515742,N,0
90,20120102,326,4,82660,3.7,80.389404,Y,6
91,20120102,326,4,82686,1.46,15.100819,N,0
92,20120102,326,4,82701,2.95,10.141592,N,0
93,20120102,326,4,255476,2.2,15.5705385,N,0
94,20120102,326,4,255489,2.21,65.47448,Y,6
95,20120102,326,4,255494,1.45,19.681156,N,0
96,20120102,326,4,335757,3.7,17.351702,Y,5
97,20120102,326,4,335781,2.36,108.156395,N,0
98,20120102,326,4,345376,3.0,15.470819,N,0
99,20120102,326,4,407217,1.91,205.69545,Y,6
100,20120102,326,4,409559,3.71,7.6873055,N,0
101,20120102,326,4,411406,4.46,7.3684,N,0
102,20120102,326,4,431714,2.66,16.164158,N,0
103,20120102,326,4,455721,3.71,27.953678,Y,6
104,20120102,326,4,467757,5.25,7.966357,N,0
105,20120102,326,4,495886,5.96,14.818628,N,0
106,20120102,326,4,501396,3.7,21.07366,Y,5
107,20120102,326,4,530037,5.96,8.064194,N,0
108,20120102,326,4,532196,2.66,33.68523,N,0
109,20120102,326,4,536428,4.46,16.229223,N,0
110,20120102,326,4,555947,5.96,7.55678,N,0
111,20120102,352,1,593171,10.0,3.147462,N,0
112,20120102,352,2,22631,12.84,9.014771,N,0
113,20120102,352,2,423218,14.91,22.446712,Y,6
114,20120102,352,2,487331,9.0,12.982457,N,0
115,20120102,352,2,487334,9.0,6.3245177,N,0
116,20120102,352,2,533283,6.0,16.838717,N,0
117,20120102,352,2,540535,6.0,7.3800125,N,0
118,20120102,352,2,568499,3.0,146.6344,Y,6
119,20120102,352,2,570153,12.0,22.615107,N,0
120,20120102,352,2,586937,3.0,14.292481,N,0
121,20120102,352,2,592729,11.31,4.9554524,N,0
122,20120102,352,3,3683,1.76,31.31982,Y,5
123,20120102,352,3,20376,7.54,6.4974194,N,0
124,20120102,352,3,90263,11.94,13.314708,Y,6
125,20120102,352,3,194771,4.18,5.0591345,N,0
126,20120102,352,3,194781,7.34,7.6550016,Y,5
127,20120102,352,3,417014,4.0,3.2699904,N,0
128,20120102,352,3,447058,11.98,28.59193,Y,6
129,20120102,352,3,471651,9.94,3.9468408,N,0
130,20120102,352,3,515246,5.0,5.7649617,N,0
131,20120102,352,3,573599,4.4,17.641644,N,0
132,20120102,352,3,573602,4.4,18.132414,N,0
133,20120102,352,3,573607,4.4,9.328324,N,0
134,20120102,352,3,573609,4.4,10.505902,N,0
135,20120102,352,3,587131,5.54,4.8467817,N,0
136,20120102,352,3,590267,2.0,13.865533,N,0
137,20120102,352,4,82660,4.16,88.48581,Y,6
138,20120102,352,4,82686,1.91,15.410563,N,0
139,20120102,352,4,82701,2.51,11.439004,N,0
140,20120102,352,4,183628,2.5,12.092556,N,0
141,20120102,352,4,255476,1.91,19.838762,N,0
142,20120102,352,4,255489,2.2,93.37213,Y,6
143,20120102,352,4,255494,1.91,20.146309,N,0
144,20120102,352,4,335757,3.7,19.306154,Y,5
145,20120102,352,4,335781,2.36,132.76077,N,0
146,20120102,352,4,345376,3.0,16.551765,N,0
147,20120102,352,4,407217,1.91,276.0821,Y,6
148,20120102,352,4,409559,2.95,8.589899,N,0
149,20120102,352,4,411406,4.46,6.9771013,N,0
150,20120102,352,4,431714,2.2,19.612267,N,0
151,20120102,352,4,455721,4.46,28.587727,Y,6
152,20120102,352,4,467757,3.75,9.275069,N,0
153,20120102,352,4,501396,3.7,24.33619,Y,5
154,20120102,352,4,530037,5.95,7.7081547,N,0
155,20120102,352,4,532196,2.2,53.020855,N,0
156,20120102,352,4,536428,4.45,17.003845,N,0
157,20120102,352,4,555947,6.71,6.797506,N,0
158,20120102,357,1,70400,70.0,0.7351479,N,0
159,20120102,357,1,466879,12.0,2.9523249,N,0
160,20120102,357,2,8598,6.39,51.48811,Y,6
161,20120102,357,2,22631,12.84,9.071666,N,0
162,20120102,357,2,423218,14.91,21.487099,Y,6
163,20120102,357,2,451332,29.82,2.0963807,N,0
164,20120102,357,2,482591,23.94,3.2240872,N,0
165,20120102,357,2,487331,9.0,12.997272,N,0
166,20120102,357,2,487334,9.0,6.4290657,N,0
167,20120102,357,2,516965,14.91,24.638458,Y,6
168,20120102,357,2,540535,6.0,7.4718046,N,0
169,20120102,357,2,568499,3.0,80.84268,Y,6
170,20120102,357,2,570153,11.91,21.75137,N,0
171,20120102,357,2,586937,3.0,11.495752,N,0
172,20120102,357,2,592729,11.31,5.269277,N,0
173,20120102,357,3,3683,1.76,22.534441,Y,5
174,20120102,357,3,36907,7.94,6.851976,N,0
175,20120102,357,3,90263,11.94,12.542372,Y,6
176,20120102,357,3,92418,2.34,13.430897,N,0
177,20120102,357,3,108037,3.98,5.9195633,N,0
178,20120102,357,3,194771,3.94,5.648477,N,0
179,20120102,357,3,194781,7.34,8.262562,Y,5
180,20120102,357,3,280116,8.94,5.173115,N,0
181,20120102,357,3,346126,21.94,4.392381,N,0
182,20120102,357,3,417014,4.0,4.31297,N,0
183,20120102,357,3,447058,11.98,25.922836,Y,6
184,20120102,357,3,456076,4.0,12.309726,Y,5
185,20120102,357,3,496031,17.94,4.3476896,Y,6
186,20120102,357,3,573599,4.54,15.117978,N,0
187,20120102,357,3,573607,4.54,8.430288,N,0
188,20120102,357,3,573609,4.54,9.339291,N,0
189,20120102,357,3,587131,5.54,5.6012335,N,0
190,20120102,357,3,590267,1.94,12.478245,N,0
191,20120102,357,4,82660,4.45,67.11116,Y,6
192,20120102,357,4,82686,1.45,15.835415,N,0
193,20120102,357,4,82689,3.7,11.639496,N,0
194,20120102,357,4,82701,2.66,10.142149,N,0
195,20120102,357,4,255476,2.24,14.802157,N,0
196,20120102,357,4,255489,2.66,55.88951,Y,6
197,20120102,357,4,255494,1.45,19.487366,N,0
198,20120102,357,4,335757,3.7,16.418308,Y,5
199,20120102,357,4,335781,2.69,97.98285,N,0
200,20120102,357,4,345376,2.52,16.816193,N,0
201,20120102,357,4,407217,1.91,194.81856,Y,6
202,20120102,357,4,409559,3.7,7.522252,N,0
203,20120102,357,4,411406,5.96,5.9228563,N,0
204,20120102,357,4,431714,2.2,16.929163,N,0
205,20120102,357,4,455721,4.46,22.834057,Y,6
206,20120102,357,4,467757,5.95,7.4946976,N,0
207,20120102,357,4,501396,3.7,20.809025,Y,5
208,20120102,357,4,530037,5.95,7.829691,N,0
209,20120102,357,4,532196,2.2,37.298027,N,0
210,20120102,357,4,536428,5.96,12.380057,N,0
211,20120102,357,4,555947,6.71,7.252924,N,0
212,20120102,362,1,346366,10.0,6.5620646,N,0
213,20120102,362,1,502627,12.0,4.686928,N,0
214,20120102,362,1,544579,4.0,11.4173155,N,0
215,20120102,362,2,8598,6.39,75.99305,Y,6
216,20120102,362,2,22631,12.84,12.198048,N,0
217,20120102,362,2,404470,12.54,18.301237,N,0
218,20120102,362,2,423218,14.91,26.926895,Y,6
219,20120102,362,2,482591,23.94,3.2588637,N,0
220,20120102,362,2,487334,9.0,8.96783,N,0
221,20120102,362,2,516965,14.91,31.073322,Y,6
222,20120102,362,2,533283,6.0,22.405878,N,0
223,20120102,362,2,540535,6.0,9.90152,N,0
224,20120102,362,2,568499,3.0,140.65692,Y,6
225,20120102,362,2,570153,11.91,29.14114,N,0
226,20120102,362,2,577654,25.41,4.2962894,N,0
227,20120102,362,2,586937,3.0,19.890503,N,0
228,20120102,362,2,592729,11.31,5.8147955,N,0
229,20120102,362,3,3683,1.76,37.654995,Y,5
230,20120102,362,3,20376,7.54,7.7493496,N,0
231,20120102,362,3,36907,7.94,7.790542,N,0
232,20120102,362,3,90263,11.94,16.440683,Y,6
233,20120102,362,3,108037,3.0,15.676128,Y,4
